tipo_servico_Serviço,mix_receita,parcerias,investimento_externo,branding_reputacao,network_time,uso_tecnologia,roadmap_produto,eficiencia_operacional,escala_tecnologica,financas_unidade,experiencia_lideranca,treinamento,governanca_financeira,headcount,ticket_medio,clientes_ativos,nps,rotatividade_time,churn,faturamento_acumulado,anos_empresa,faturamento_mensal,canais_vendas
1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.21496801541230062,-0.48656722713934053,-0.03207825122626716,1.0564866258891863,0.09775707335295696,0.6144865908541562,-0.6020142024159133,0.6342106930891837,-0.28151723732847866,-0.014266012901875725
0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.7867617326865008,-0.43711838079121806,-1.5842310462067102,1.1804650167229056,-1.5652495615144697,-1.1586387677451717,-0.6209372854405366,0.9441477517639139,-0.20516302425439636,1.3907201062222452
1.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.1494569863084807,2.870320763170839,1.594283815006592,-0.9891568228671817,0.3056329027113851,-0.07410578141742749,0.13779677994915104,-0.7088498945013135,-0.14060114343206562,-0.014266012901875725
0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,-0.8021889022288394,-0.46376513580957274,1.6171707865143468,-0.9891568228671817,-1.5167452013308365,-1.3996460980402259,-0.7118517363949427,-1.5009112666700684,-0.7102372653425815,-0.014266012901875725
0.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.07864242799596878,-0.41926166286611866,0.2890328944734402,-0.05931889161428714,0.7837473102357703,1.6731973632217159,-0.6869535849700966,1.219647359474785,-0.5606340015865771,0.6882270466601846
0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.6140497071522247,-0.42988165430085234,0.8369331214772606,1.5524001892240635,0.4372875946383898,-1.184460981705356,-0.24729756133428185,1.6328967710410915,-0.7316674388725213,-0.014266012901875725
1.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.35498166885081056,-0.4694710351104325,-1.355361331129165,-0.5242378572407345,0.6382342296848703,0.6489162094677354,-0.7127599734067807,1.6328967710410915,0.14587512887689422,-0.7167590724639361
0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.44306742971675,-0.043913784444031524,-1.1535398551062388,0.777535246513318,-1.3365861492201987,-0.35815013497945575,-0.7170728978413018,-1.225411658959197,-0.73315172470807,0.6882270466601846
0.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.3567114169496122,-0.31780770382213547,0.8653684497141678,0.002670303802572494,1.1856405803287318,-0.49586860943377253,-0.708782693745051,0.7030855950169015,-0.7164129871442324,-0.014266012901875725
1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,-0.24951042051915587,-0.4449885530151725,-1.6806337443757369,0.002670303802572494,0.8530392533552464,-0.3667575396328505,-0.6453543337026205,1.7362091239326685,0.08447668915437696,-0.7167590724639361
1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,-1.0267145354233984,0.33347617443710925,-0.9503312899010243,-1.2371136045346203,1.5667462674858503,-0.7799129629958007,-0.3823670432467816,-0.3644753848627245,2.718466657194023,-1.4192521320259965
0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.2530842016290464,-0.45521459594583785,-1.0765564054892462,0.777535246513318,1.3727288267513174,-1.2447128142791197,-0.7050595504063325,1.1507724575470675,0.8268763974842988,0.6882270466601846
1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,-0.4394936486068596,3.670289409214916,1.0338997853621783,-0.7412000411997431,-0.25563183655637134,-1.2447128142791197,2.446039559591384,1.0130226536916318,-0.046369936785289466,-0.7167590724639361
1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.3912538220564674,-0.44331402748795423,-0.6458652143887749,0.9015136373470373,0.04232351885737602,-0.9434536514103018,-0.7139831546327357,-1.3975989137784914,0.13394802711369408,1.3907201062222452
