clientes_ativos,faturamento_mensal,faturamento_acumulado,anos_empresa,tipo_servico,ticket_medio,mix_receita,canais_vendas,churn,parcerias,investimento_externo,branding_reputacao,network_time,uso_tecnologia,roadmap_produto,nps,eficiencia_operacional,escala_tecnologica,financas_unidade,headcount,experiencia_lideranca,treinamento,rotatividade_time,governanca_financeira,score_total
144,1726047,339550,0.2,Serviço,25935.5,3–5 clientes >50%,5,0.378,Algumas,Série A+,Reconhecimento forte,"Sim, forte",Alto,Parcial,53,Parcialmente,Parcialmente,Algumas,10,Experiência forte,Às vezes,0.447,Não existem controles,43.03
867,664597,3155913,9.9,Serviço,5001.58,3–5 clientes >50%,4,0.33,Poucas,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Alto,Parcial,90,Quase tudo,Não,Não,107,Sem experiência,Às vezes,0.457,DRE e auditoria,54.06
2316,420837,583905,5.6,Serviço,140.26,Receita diversificada,3,0.05,Muitas,Não,Não reconhecida,"Sim, forte",Médio,Parcial,35,Quase tudo,Parcialmente,Algumas,156,Sem experiência,Às vezes,0.115,DRE e auditoria,73.91
2886,1607265,4222691,6.6,Produto,890.61,1–2 clientes >50%,3,0.025,Poucas,Não,Reconhecimento forte,"Sim, forte",Médio,Não existe,51,Quase nada,Parcialmente,"Sim, regularmente",66,Sem experiência,Regularmente,0.31,Controles básicos,62.54
1919,1718664,4325767,6.9,Serviço,468.7,1–2 clientes >50%,3,0.282,Algumas,Seed/Pré-Série A,Não reconhecida,Não,Médio,Não existe,96,Parcialmente,Não,Algumas,136,Experiência forte,Nunca,0.442,Controles básicos,57.48
111,1935979,119514,0.8,Produto,43.78,1–2 clientes >50%,1,0.324,Muitas,Seed/Pré-Série A,Não reconhecida,Não,Médio,Parcial,98,Parcialmente,Sim,Não,108,Sem experiência,Às vezes,0.054,DRE e auditoria,58.32
4591,156868,130031,1.1,Produto,497.29,3–5 clientes >50%,3,0.213,Poucas,Série A+,Algum reconhecimento,"Sim, forte",Baixo,Parcial,100,Parcialmente,Sim,"Sim, regularmente",108,Experiência forte,Às vezes,0.296,Não existem controles,42.18
4183,92668,16156415,8.2,Produto,3460.14,1–2 clientes >50%,3,0.19,Algumas,Aceleradora/Anjo,Não reconhecida,Ocasionalmente,Baixo,Parcial,27,Parcialmente,Parcialmente,Algumas,168,Experiência parcial,Nunca,0.316,Não existem controles,40.66
849,1429569,513828,9.8,Serviço,38403.11,1–2 clientes >50%,2,0.02,Nenhuma,Série A+,Reconhecimento forte,Ocasionalmente,Médio,Não existe,24,Quase nada,Não,Algumas,35,Sem experiência,Regularmente,0.391,Não existem controles,36.15
1966,72262,198103,1.7,Serviço,38306.36,Receita diversificada,5,0.386,Algumas,Não,Reconhecimento forte,Não,Médio,Parcial,64,Quase tudo,Parcialmente,Não,16,Experiência forte,Nunca,0.482,Controles básicos,57.48
